sw1_code	sw1_name	weight
801010	农林牧渔	3.43
801020	采掘	1.091
801030	化工	7.46
801040	钢铁	2.509
801050	有色金属	4.178
801080	电子	7.909
801110	家用电器	0.95
801120	食品饮料	2.885
801130	纺织服装	0.353
801140	轻工制造	2.082
801150	医药生物	15.229
801160	公用事业	3.072
801170	交通运输	2.856
801180	房地产	3.681
801200	商业贸易	3.214
801210	休闲服务	0.501
801230	综合	1.323
801710	建筑材料	1.762
801720	建筑装饰	1.237
801730	电气设备	4.259
801740	国防军工	2.932
801750	计算机	7.212
801760	传媒	5.266
801770	通信	2.141
801780	银行	1.164
801790	非银金融	4.412
801880	汽车	3.594
801890	机械设备	3.308
